Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-17 17:33:55, 5, 0.00, 47.43, 0.9220, "16567 16568 16569 16590 16592"
2025-09-17 17:33:56, 5, 0.00, 47.43, 0.9220, "16567 16568 16569 16614 16616"
2025-09-17 17:33:56, 5, 0.00, 47.43, 0.9220, "16567 16568 16569 16639 16641"
2025-09-17 17:33:57, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16664 16666"
2025-09-17 17:33:58, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16690 16692"
2025-09-17 17:33:59, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16715 16717"
2025-09-17 17:33:59, 5, 0.00, 47.43, 0.8120, "16567 16568 16569 16740 16742"
2025-09-17 17:34:00, 5, 0.00, 47.43, 0.8258, "16567 16568 16569 16765 16767"
2025-09-17 17:34:01, 5, 0.00, 47.43, 0.9220, "16567 16568 16569 16790 16792"
2025-09-17 17:34:01, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16815 16817"
2025-09-17 17:34:02, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16840 16842"
2025-09-17 17:34:03, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16865 16867"
2025-09-17 17:34:03, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16890 16892"
2025-09-17 17:34:04, 5, 0.00, 47.43, 0.7200, "16567 16568 16569 16915 16917"
2025-09-17 17:34:05, 5, 93.30, 48.43, 0.9220, "16567 16568 16569 16943 16945"
2025-09-17 17:34:05, 5, 100.00, 48.43, 0.9220, "16567 16568 16569 16968 16970"
2025-09-17 17:34:06, 5, 106.70, 49.43, 0.9220, "16567 16568 16569 16993 16995"
2025-09-17 17:34:07, 5, 106.70, 51.43, 0.9220, "16567 16568 16569 17018 17020"
2025-09-17 17:34:07, 5, 100.00, 51.93, 0.9220, "16567 16568 16569 17043 17045"
2025-09-17 17:34:08, 5, 106.70, 52.93, 0.9220, "16567 16568 16569 17068 17070"
2025-09-17 17:34:09, 5, 100.00, 53.93, 0.9220, "16567 16568 16569 17093 17095"
2025-09-17 17:34:10, 5, 100.00, 55.43, 0.9220, "16567 16568 16569 17118 17120"
2025-09-17 17:34:10, 5, 106.70, 56.43, 0.9220, "16567 16568 16569 17143 17145"
2025-09-17 17:34:11, 5, 93.80, 57.43, 0.9220, "16567 16568 16569 17168 17170"
2025-09-17 17:34:12, 5, 106.70, 59.43, 0.9220, "16567 16568 16569 17194 17196"
2025-09-17 17:34:12, 5, 100.00, 60.43, 0.9220, "16567 16568 16569 17219 17221"
2025-09-17 17:34:13, 5, 100.00, 61.43, 0.9220, "16567 16568 16569 17244 17246"
2025-09-17 17:34:14, 5, 93.30, 62.93, 0.9220, "16567 16568 16569 17269 17271"
2025-09-17 17:34:14, 5, 100.00, 63.93, 0.9220, "16567 16568 16569 17294 17296"
2025-09-17 17:34:15, 5, 106.70, 64.93, 0.9220, "16567 16568 16569 17320 17322"
2025-09-17 17:34:16, 5, 100.00, 67.43, 0.9220, "16567 16568 16569 17345 17347"
2025-09-17 17:34:16, 5, 106.70, 68.43, 0.9220, "16567 16568 16569 17371 17373"
2025-09-17 17:34:17, 5, 100.00, 69.43, 0.9220, "16567 16568 16569 17397 17399"
2025-09-17 17:34:18, 5, 106.70, 69.93, 0.9220, "16567 16568 16569 17422 17424"
2025-09-17 17:34:18, 5, 100.00, 71.43, 0.9220, "16567 16568 16569 17447 17449"
2025-09-17 17:34:19, 5, 100.00, 72.43, 0.9220, "16567 16568 16569 17472 17474"
2025-09-17 17:34:20, 5, 100.00, 73.43, 0.9220, "16567 16568 16569 17497 17499"
2025-09-17 17:34:21, 5, 100.00, 74.43, 0.9220, "16567 16568 16569 17521 17523"
2025-09-17 17:34:21, 5, 100.00, 75.43, 0.9220, "16567 16568 16569 17546 17548"
2025-09-17 17:34:22, 5, 100.00, 76.43, 0.9220, "16567 16568 16569 17571 17573"
2025-09-17 17:34:23, 5, 100.00, 77.43, 0.9220, "16567 16568 16569 17597 17599"
2025-09-17 17:34:23, 5, 100.00, 78.93, 0.9220, "16567 16568 16569 17622 17624"
2025-09-17 17:34:24, 5, 106.70, 79.93, 0.9220, "16567 16568 16569 17647 17649"
2025-09-17 17:34:25, 5, 100.00, 80.93, 0.9220, "16567 16568 16569 17672 17674"
2025-09-17 17:34:25, 5, 106.70, 81.93, 0.9220, "16567 16568 16569 17697 17699"
2025-09-17 17:34:26, 5, 106.70, 82.93, 0.9220, "16567 16568 16569 17723 17725"
2025-09-17 17:34:27, 5, 106.70, 83.93, 0.9220, "16567 16568 16569 17748 17750"
2025-09-17 17:34:27, 5, 100.00, 84.93, 0.9220, "16567 16568 16569 17773 17775"
2025-09-17 17:34:28, 5, 106.70, 85.43, 0.9220, "16567 16568 16569 17799 17801"
2025-09-17 17:34:29, 5, 100.00, 86.93, 0.9220, "16567 16568 16569 17824 17826"
2025-09-17 17:34:29, 5, 100.00, 87.93, 0.9220, "16567 16568 16569 17849 17851"
2025-09-17 17:34:30, 5, 100.00, 88.93, 0.9220, "16567 16568 16569 17874 17876"
2025-09-17 17:34:31, 5, 100.00, 89.93, 0.9220, "16567 16568 16569 17900 17902"
2025-09-17 17:34:31, 5, 100.00, 90.93, 0.9220, "16567 16568 16569 17925 17927"
2025-09-17 17:34:32, 5, 106.70, 91.93, 0.9220, "16567 16568 16569 17950 17952"
2025-09-17 17:34:33, 5, 106.70, 92.43, 0.9220, "16567 16568 16569 17975 17977"
2025-09-17 17:34:34, 5, 100.00, 93.93, 0.9220, "16567 16568 16569 18001 18003"
2025-09-17 17:34:34, 5, 106.70, 94.43, 0.9220, "16567 16568 16569 18026 18028"
2025-09-17 17:34:35, 5, 100.00, 95.43, 0.9220, "16567 16568 16569 18051 18053"
2025-09-17 17:34:36, 5, 100.00, 95.93, 0.9220, "16567 16568 16569 18076 18078"
2025-09-17 17:34:36, 5, 93.30, 97.43, 0.9220, "16567 16568 16569 18101 18103"
2025-09-17 17:34:37, 5, 106.70, 97.93, 0.9220, "16567 16568 16569 18126 18128"
2025-09-17 17:34:38, 5, 106.70, 98.43, 0.9220, "16567 16568 16569 18151 18153"
2025-09-17 17:34:38, 5, 106.70, 99.43, 0.9220, "16567 16568 16569 18176 18178"
2025-09-17 17:34:39, 5, 100.00, 100.43, 0.9220, "16567 16568 16569 18202 18204"
2025-09-17 17:34:40, 5, 106.70, 101.43, 0.9220, "16567 16568 16569 18227 18229"
2025-09-17 17:34:40, 5, 100.00, 102.43, 0.9220, "16567 16568 16569 18253 18255"
2025-09-17 17:34:41, 5, 106.70, 102.93, 0.9220, "16567 16568 16569 18279 18281"
2025-09-17 17:34:42, 5, 106.70, 103.93, 0.9220, "16567 16568 16569 18304 18306"
2025-09-17 17:34:42, 5, 93.80, 104.93, 0.9220, "16567 16568 16569 18329 18331"
2025-09-17 17:34:43, 5, 100.00, 105.93, 0.9220, "16567 16568 16569 18354 18356"
2025-09-17 17:34:44, 5, 106.70, 106.43, 0.9220, "16567 16568 16569 18379 18381"
2025-09-17 17:34:44, 5, 100.00, 106.93, 0.9220, "16567 16568 16569 18404 18406"
2025-09-17 17:34:45, 5, 100.00, 107.43, 0.9220, "16567 16568 16569 18429 18431"
2025-09-17 17:34:46, 5, 100.00, 108.93, 0.9220, "16567 16568 16569 18454 18456"
2025-09-17 17:34:46, 5, 100.00, 109.43, 0.9220, "16567 16568 16569 18479 18481"
2025-09-17 17:34:47, 5, 93.80, 109.93, 0.9220, "16567 16568 16569 18504 18506"
2025-09-17 17:34:48, 5, 100.00, 110.93, 0.9220, "16567 16568 16569 18529 18531"
2025-09-17 17:34:49, 5, 100.00, 111.93, 0.9220, "16567 16568 16569 18554 18556"
2025-09-17 17:34:49, 5, 100.00, 112.93, 0.9220, "16567 16568 16569 18579 18581"
2025-09-17 17:34:50, 5, 106.70, 113.43, 0.9220, "16567 16568 16569 18604 18606"
2025-09-17 17:34:51, 5, 106.70, 113.93, 0.9220, "16567 16568 16569 18628 18630"
2025-09-17 17:34:51, 5, 100.00, 114.93, 0.9220, "16567 16568 16569 18653 18655"
2025-09-17 17:34:52, 5, 100.00, 115.43, 0.9220, "16567 16568 16569 18678 18680"
2025-09-17 17:34:53, 5, 106.70, 115.93, 0.9220, "16567 16568 16569 18703 18705"
2025-09-17 17:34:53, 5, 106.70, 116.93, 0.9220, "16567 16568 16569 18728 18730"
2025-09-17 17:34:54, 5, 100.00, 117.43, 0.9220, "16567 16568 16569 18753 18755"
2025-09-17 17:34:55, 5, 106.70, 118.43, 0.9220, "16567 16568 16569 18778 18780"
2025-09-17 17:34:55, 5, 100.00, 118.93, 0.9220, "16567 16568 16569 18803 18805"
2025-09-17 17:34:56, 5, 100.00, 119.43, 0.9220, "16567 16568 16569 18829 18831"
2025-09-17 17:34:57, 5, 100.00, 119.93, 0.9220, "16567 16568 16569 18854 18856"
2025-09-17 17:34:57, 5, 106.70, 120.93, 0.9220, "16567 16568 16569 18879 18881"
2025-09-17 17:34:58, 5, 100.00, 121.93, 0.9220, "16567 16568 16569 18904 18906"
2025-09-17 17:34:59, 5, 100.00, 122.43, 0.9220, "16567 16568 16569 18929 18931"
2025-09-17 17:34:59, 5, 100.00, 122.93, 0.9220, "16567 16568 16569 18954 18956"
2025-09-17 17:35:00, 5, 106.70, 123.43, 0.9220, "16567 16568 16569 18980 18982"
2025-09-17 17:35:01, 5, 106.70, 123.93, 0.9220, "16567 16568 16569 19005 19007"
2025-09-17 17:35:02, 5, 100.00, 124.43, 0.9220, "16567 16568 16569 19030 19032"
2025-09-17 17:35:02, 5, 100.00, 124.93, 0.9220, "16567 16568 16569 19055 19057"
2025-09-17 17:35:03, 5, 106.70, 125.43, 0.9220, "16567 16568 16569 19080 19082"
2025-09-17 17:35:04, 5, 100.00, 125.43, 0.9220, "16567 16568 16569 19105 19107"
2025-09-17 17:35:04, 5, 106.70, 125.43, 0.9220, "16567 16568 16569 19130 19132"
2025-09-17 17:35:05, 5, 100.00, 125.93, 0.9220, "16567 16568 16569 19155 19157"
2025-09-17 17:35:06, 5, 100.00, 125.93, 0.9220, "16567 16568 16569 19180 19182"
2025-09-17 17:35:06, 5, 100.00, 125.93, 0.9220, "16567 16568 16569 19204 19206"
2025-09-17 17:35:07, 5, 100.00, 125.93, 0.9220, "16567 16568 16569 19229 19231"
2025-09-17 17:35:08, 5, 100.00, 125.93, 0.9220, "16567 16568 16569 19254 19256"
2025-09-17 17:35:08, 5, 106.70, 125.93, 0.9220, "16567 16568 16569 19279 19281"
2025-09-17 17:35:09, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19304 19306"
2025-09-17 17:35:10, 5, 106.70, 126.43, 0.9220, "16567 16568 16569 19329 19331"
2025-09-17 17:35:10, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19354 19356"
2025-09-17 17:35:11, 5, 93.80, 126.43, 0.9220, "16567 16568 16569 19379 19381"
2025-09-17 17:35:12, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19404 19406"
2025-09-17 17:35:12, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19429 19431"
2025-09-17 17:35:13, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19454 19456"
2025-09-17 17:35:14, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19479 19481"
2025-09-17 17:35:14, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19504 19506"
2025-09-17 17:35:15, 5, 106.70, 126.43, 0.9220, "16567 16568 16569 19529 19531"
2025-09-17 17:35:16, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19554 19556"
2025-09-17 17:35:17, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19579 19581"
2025-09-17 17:35:17, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19604 19606"
2025-09-17 17:35:18, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19629 19631"
2025-09-17 17:35:19, 5, 106.70, 126.43, 0.9220, "16567 16568 16569 19654 19656"
2025-09-17 17:35:19, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19679 19681"
2025-09-17 17:35:20, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19704 19706"
2025-09-17 17:35:21, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19729 19731"
2025-09-17 17:35:21, 5, 93.80, 126.43, 0.9220, "16567 16568 16569 19754 19756"
2025-09-17 17:35:22, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19778 19780"
2025-09-17 17:35:23, 5, 106.70, 126.43, 0.9220, "16567 16568 16569 19803 19805"
2025-09-17 17:35:23, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19828 19830"
2025-09-17 17:35:24, 5, 93.80, 126.43, 0.9220, "16567 16568 16569 19853 19855"
2025-09-17 17:35:25, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19878 19880"
2025-09-17 17:35:25, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19903 19905"
2025-09-17 17:35:26, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19928 19930"
2025-09-17 17:35:27, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19953 19955"
2025-09-17 17:35:27, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 19978 19980"
2025-09-17 17:35:28, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 20003 20005"
2025-09-17 17:35:29, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 20028 20030"
2025-09-17 17:35:29, 5, 100.00, 126.43, 0.9220, "16567 16568 16569 20053 20055"
2025-09-17 17:35:30, 5, 93.80, 126.43, 0.9220, "16567 16568 16569 20078 20080"
2025-09-17 17:35:31, 5, 106.70, 126.93, 0.9220, "16567 16568 16569 20103 20105"
2025-09-17 17:35:32, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20128 20130"
2025-09-17 17:35:32, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20153 20155"
2025-09-17 17:35:33, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20178 20180"
2025-09-17 17:35:34, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20203 20205"
2025-09-17 17:35:34, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20228 20230"
2025-09-17 17:35:35, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20253 20255"
2025-09-17 17:35:36, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20278 20280"
2025-09-17 17:35:36, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20303 20305"
2025-09-17 17:35:37, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20328 20330"
2025-09-17 17:35:38, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20353 20355"
2025-09-17 17:35:38, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20377 20379"
2025-09-17 17:35:39, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20402 20404"
2025-09-17 17:35:40, 5, 93.80, 126.93, 0.9220, "16567 16568 16569 20427 20429"
2025-09-17 17:35:40, 5, 106.70, 126.93, 0.9220, "16567 16568 16569 20452 20454"
2025-09-17 17:35:41, 5, 106.70, 126.93, 0.9220, "16567 16568 16569 20477 20479"
2025-09-17 17:35:42, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20502 20504"
2025-09-17 17:35:42, 5, 106.70, 126.93, 0.9220, "16567 16568 16569 20527 20529"
2025-09-17 17:35:43, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20552 20554"
2025-09-17 17:35:44, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20577 20579"
2025-09-17 17:35:44, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20602 20604"
2025-09-17 17:35:45, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20627 20629"
2025-09-17 17:35:46, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20652 20654"
2025-09-17 17:35:47, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20677 20679"
2025-09-17 17:35:47, 5, 106.70, 126.93, 0.9220, "16567 16568 16569 20702 20704"
2025-09-17 17:35:48, 5, 93.30, 126.93, 0.9220, "16567 16568 16569 20727 20729"
2025-09-17 17:35:49, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20752 20754"
2025-09-17 17:35:49, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20777 20779"
2025-09-17 17:35:50, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20802 20804"
2025-09-17 17:35:51, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20827 20829"
2025-09-17 17:35:51, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20852 20854"
2025-09-17 17:35:52, 5, 93.80, 126.93, 0.9220, "16567 16568 16569 20877 20879"
2025-09-17 17:35:53, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20902 20904"
2025-09-17 17:35:53, 5, 100.00, 126.93, 0.9220, "16567 16568 16569 20927 20929"
