Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-16 18:31:22, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 29980 29983"
2025-09-16 18:31:23, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30005 30007"
2025-09-16 18:31:24, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30033 30035"
2025-09-16 18:31:25, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30063 30065"
2025-09-16 18:31:25, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30088 30090"
2025-09-16 18:31:26, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30113 30115"
2025-09-16 18:31:27, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30138 30140"
2025-09-16 18:31:27, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30163 30165"
2025-09-16 18:31:28, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30188 30190"
2025-09-16 18:31:29, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30213 30215"
2025-09-16 18:31:30, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30238 30240"
2025-09-16 18:31:30, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30263 30265"
2025-09-16 18:31:31, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30288 30290"
2025-09-16 18:31:32, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30313 30315"
2025-09-16 18:31:33, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30338 30340"
2025-09-16 18:31:33, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30363 30365"
2025-09-16 18:31:34, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30388 30390"
2025-09-16 18:31:35, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30413 30415"
2025-09-16 18:31:36, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30438 30440"
2025-09-16 18:31:36, 5, 0.00, 46.84, 0.8700, "29957 29958 29959 30463 30465"
2025-09-16 18:31:37, 5, 6.70, 46.84, 0.9360, "29957 29958 29959 30488 30490"
2025-09-16 18:31:38, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30513 30515"
2025-09-16 18:31:39, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30538 30540"
2025-09-16 18:31:39, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30563 30565"
2025-09-16 18:31:40, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30588 30590"
2025-09-16 18:31:41, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30613 30615"
2025-09-16 18:31:42, 5, 0.00, 46.84, 0.8700, "29957 29958 29959 30638 30640"
2025-09-16 18:31:42, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30663 30665"
2025-09-16 18:31:43, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30688 30690"
2025-09-16 18:31:44, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30713 30715"
2025-09-16 18:31:45, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30738 30740"
2025-09-16 18:31:45, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30763 30765"
2025-09-16 18:31:46, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30788 30790"
2025-09-16 18:31:47, 5, 0.00, 46.84, 0.8700, "29957 29958 29959 30813 30815"
2025-09-16 18:31:48, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30838 30840"
2025-09-16 18:31:48, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30863 30865"
2025-09-16 18:31:49, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30888 30890"
2025-09-16 18:31:50, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30913 30915"
2025-09-16 18:31:50, 5, 0.00, 46.84, 0.9360, "29957 29958 29959 30938 30940"
