Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-17 18:32:03, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4373 4375"
2025-09-17 18:32:04, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4397 4399"
2025-09-17 18:32:04, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4422 4424"
2025-09-17 18:32:05, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4447 4449"
2025-09-17 18:32:06, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4472 4474"
2025-09-17 18:32:06, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4497 4499"
2025-09-17 18:32:07, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4522 4524"
2025-09-17 18:32:08, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4547 4549"
2025-09-17 18:32:09, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4572 4574"
2025-09-17 18:32:10, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4597 4599"
2025-09-17 18:32:10, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4622 4624"
2025-09-17 18:32:11, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4647 4649"
2025-09-17 18:32:12, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4675 4677"
2025-09-17 18:32:12, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4706 4708"
2025-09-17 18:32:13, 5, 0.00, 46.89, 0.8700, "4349 4350 4351 4731 4733"
2025-09-17 18:32:14, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4756 4758"
2025-09-17 18:32:15, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4781 4783"
2025-09-17 18:32:15, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4806 4808"
2025-09-17 18:32:16, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4831 4833"
2025-09-17 18:32:17, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4856 4858"
2025-09-17 18:32:18, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4881 4883"
2025-09-17 18:32:18, 5, 0.00, 46.89, 0.8700, "4349 4350 4351 4906 4908"
2025-09-17 18:32:19, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4931 4933"
2025-09-17 18:32:20, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4956 4958"
2025-09-17 18:32:21, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 4981 4983"
2025-09-17 18:32:21, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5006 5008"
2025-09-17 18:32:22, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5031 5033"
2025-09-17 18:32:23, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5056 5058"
2025-09-17 18:32:24, 5, 0.00, 46.89, 0.8700, "4349 4350 4351 5081 5083"
2025-09-17 18:32:24, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5106 5108"
2025-09-17 18:32:25, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5131 5133"
2025-09-17 18:32:26, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5156 5158"
2025-09-17 18:32:27, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5181 5183"
2025-09-17 18:32:27, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5206 5208"
2025-09-17 18:32:28, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5231 5233"
2025-09-17 18:32:29, 5, 0.00, 46.89, 0.8700, "4349 4350 4351 5256 5258"
2025-09-17 18:32:30, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5281 5283"
2025-09-17 18:32:30, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5306 5308"
2025-09-17 18:32:31, 5, 0.00, 46.89, 0.9360, "4349 4350 4351 5331 5333"
2025-09-17 18:32:32, 5, 113.30, 49.30, 0.9360, "4349 4350 4351 5356 5358"
2025-09-17 18:32:33, 5, 113.30, 57.43, 0.9360, "4349 4350 4351 5382 5384"
2025-09-17 18:32:33, 5, 113.30, 65.55, 0.9360, "4349 4350 4351 5407 5409"
2025-09-17 18:32:34, 5, 106.70, 73.30, 0.9360, "4349 4350 4351 5432 5434"
2025-09-17 18:32:35, 5, 106.20, 81.30, 0.9360, "4349 4350 4351 5457 5459"
2025-09-17 18:32:36, 5, 113.30, 88.43, 0.9360, "4349 4350 4351 5482 5484"
2025-09-17 18:32:36, 5, 106.70, 97.18, 0.9360, "4349 4350 4351 5507 5509"
2025-09-17 18:32:37, 5, 113.30, 105.43, 0.9360, "4349 4350 4351 5532 5534"
2025-09-17 18:32:38, 5, 120.00, 113.55, 0.9360, "4349 4350 4351 5557 5559"
2025-09-17 18:32:39, 5, 100.00, 117.05, 0.9360, "4349 4350 4351 5582 5584"
2025-09-17 18:32:39, 5, 106.70, 117.18, 0.9360, "4349 4350 4351 5607 5609"
2025-09-17 18:32:40, 5, 106.70, 117.43, 0.9360, "4349 4350 4351 5632 5634"
2025-09-17 18:32:41, 5, 100.00, 117.55, 0.9360, "4349 4350 4351 5657 5659"
2025-09-17 18:32:42, 5, 100.00, 117.80, 0.9360, "4349 4350 4351 5682 5684"
2025-09-17 18:32:42, 5, 93.80, 118.05, 0.9360, "4349 4350 4351 5707 5709"
2025-09-17 18:32:43, 5, 106.70, 118.18, 0.9360, "4349 4350 4351 5732 5734"
2025-09-17 18:32:44, 5, 93.30, 118.43, 0.9360, "4349 4350 4351 5757 5759"
2025-09-17 18:32:45, 5, 100.00, 118.68, 0.9360, "4349 4350 4351 5782 5784"
2025-09-17 18:32:45, 5, 87.50, 118.80, 0.9360, "4349 4350 4351 5807 5809"
2025-09-17 18:32:46, 5, 93.80, 119.05, 0.9360, "4349 4350 4351 5832 5834"
2025-09-17 18:32:47, 5, 93.80, 119.18, 0.9360, "4349 4350 4351 5857 5859"
2025-09-17 18:32:48, 5, 93.80, 119.43, 0.9360, "4349 4350 4351 5882 5884"
2025-09-17 18:32:48, 5, 106.70, 119.68, 0.9360, "4349 4350 4351 5907 5909"
2025-09-17 18:32:49, 5, 100.00, 119.80, 0.9360, "4349 4350 4351 5932 5934"
2025-09-17 18:32:50, 5, 106.70, 120.05, 0.9360, "4349 4350 4351 5957 5959"
2025-09-17 18:32:51, 5, 100.00, 120.30, 0.9360, "4349 4350 4351 5982 5984"
2025-09-17 18:32:51, 5, 93.80, 120.68, 0.9360, "4349 4350 4351 6007 6009"
2025-09-17 18:32:52, 5, 100.00, 120.93, 0.9360, "4349 4350 4351 6032 6034"
2025-09-17 18:32:53, 5, 100.00, 121.05, 0.9360, "4349 4350 4351 6057 6059"
2025-09-17 18:32:54, 5, 100.00, 121.30, 0.9360, "4349 4350 4351 6082 6084"
2025-09-17 18:32:54, 5, 100.00, 121.55, 0.9360, "4349 4350 4351 6107 6109"
2025-09-17 18:32:55, 5, 100.00, 121.68, 0.9360, "4349 4350 4351 6132 6134"
2025-09-17 18:32:56, 5, 100.00, 121.93, 0.9360, "4349 4350 4351 6157 6159"
2025-09-17 18:32:57, 5, 100.00, 122.05, 0.9360, "4349 4350 4351 6182 6184"
2025-09-17 18:32:57, 5, 100.00, 122.30, 0.9360, "4349 4350 4351 6207 6209"
2025-09-17 18:32:58, 5, 106.70, 122.55, 0.9360, "4349 4350 4351 6232 6234"
2025-09-17 18:32:59, 5, 93.80, 122.68, 0.9360, "4349 4350 4351 6257 6259"
2025-09-17 18:33:00, 5, 106.70, 122.93, 0.9360, "4349 4350 4351 6282 6284"
2025-09-17 18:33:00, 5, 100.00, 123.18, 0.9360, "4349 4350 4351 6307 6309"
2025-09-17 18:33:01, 5, 93.80, 123.30, 0.9360, "4349 4350 4351 6332 6334"
2025-09-17 18:33:02, 5, 93.80, 123.55, 0.9360, "4349 4350 4351 6357 6359"
2025-09-17 18:33:03, 5, 100.00, 123.80, 0.9360, "4349 4350 4351 6382 6384"
2025-09-17 18:33:03, 5, 106.70, 123.93, 0.9360, "4349 4350 4351 6407 6409"
2025-09-17 18:33:04, 5, 100.00, 123.93, 0.9360, "4349 4350 4351 6432 6434"
2025-09-17 18:33:05, 5, 93.80, 124.05, 0.9360, "4349 4350 4351 6457 6459"
2025-09-17 18:33:06, 5, 93.80, 124.05, 0.9360, "4349 4350 4351 6482 6484"
2025-09-17 18:33:06, 5, 106.70, 124.18, 0.9360, "4349 4350 4351 6507 6509"
2025-09-17 18:33:07, 5, 100.00, 124.30, 0.9360, "4349 4350 4351 6532 6534"
2025-09-17 18:33:08, 5, 100.00, 124.30, 0.9360, "4349 4350 4351 6557 6559"
2025-09-17 18:33:09, 5, 106.70, 124.43, 0.9360, "4349 4350 4351 6582 6584"
2025-09-17 18:33:09, 5, 100.00, 124.43, 0.9360, "4349 4350 4351 6607 6609"
2025-09-17 18:33:10, 5, 106.70, 124.55, 0.9360, "4349 4350 4351 6632 6634"
2025-09-17 18:33:11, 5, 100.00, 124.55, 0.9360, "4349 4350 4351 6657 6659"
2025-09-17 18:33:12, 5, 106.70, 124.68, 0.9360, "4349 4350 4351 6682 6684"
2025-09-17 18:33:12, 5, 93.80, 124.68, 0.9360, "4349 4350 4351 6707 6709"
2025-09-17 18:33:13, 5, 93.80, 124.80, 0.9360, "4349 4350 4351 6732 6734"
2025-09-17 18:33:14, 5, 100.00, 124.80, 0.9360, "4349 4350 4351 6757 6759"
2025-09-17 18:33:15, 5, 100.00, 124.93, 0.9360, "4349 4350 4351 6782 6784"
